rownames,family,father,mother,children,childNum,gender,childHeight
321,077,70.0,64.0,4,3,male,66.7
325,078,70.0,64.2,5,3,female,62.5
330,079,70.5,64.0,8,3,male,69.0
339,081,70.0,64.0,4,3,female,64.0
343,082,70.0,64.0,9,3,male,70.0
352,083,70.0,63.7,8,3,male,65.5
360,084,70.5,63.0,4,3,female,65.5
364,085,70.5,63.0,5,3,male,67.0
369,086,70.0,63.5,4,3,female,67.5
373,087,70.0,63.0,4,3,female,63.7
377,088,70.0,63.0,4,3,female,62.0
381,089,70.5,62.0,8,3,male,69.5
389,090,70.3,62.7,7,3,male,69.2
396,091,70.5,62.0,3,3,female,60.0
401,093,70.0,60.0,4,3,female,65.0
407,095,70.0,58.5,3,3,female,63.0
410,096,70.0,58.0,5,3,female,66.0
415,097,69.0,68.5,10,3,male,70.0
426,099,69.0,66.0,8,3,male,71.7
434,100,69.0,66.0,3,3,male,70.0
437,101,69.0,66.7,4,3,male,72.0
441,102,69.0,66.0,6,3,male,68.0
447,103,69.0,66.5,7,3,male,70.5
454,104,69.5,66.5,4,3,female,64.5
458,105,69.0,66.5,6,3,female,67.5
464,106,69.5,66.0,7,3,male,70.5
471,107,69.0,66.0,9,3,male,69.0
480,108,69.0,65.0,7,3,male,67.0
487,109,69.5,64.5,7,3,male,60.0
494,110,69.2,64.0,4,3,female,65.0
499,112,69.0,63.0,3,3,female,63.5
503,114,69.0,63.0,6,3,male,70.0
509,115,69.0,63.5,7,3,male,66.0
516,116,69.0,63.5,3,3,female,63.0
520,118,69.5,62.0,3,3,male,69.0
523,119,69.0,62.0,5,3,male,71.0
528,120,69.5,62.0,11,3,male,67.8
539,121,69.0,62.5,8,3,male,70.0
547,122,69.0,62.0,4,3,female,66.0
551,123,69.5,61.0,5,3,male,69.0
556,124,69.0,61.0,9,3,male,67.5
565,125,69.0,60.0,3,3,female,62.5
568,126,69.0,60.0,4,3,female,61.7
575,129,68.5,67.0,3,3,female,67.0
578,130,68.5,66.5,11,3,male,69.0
593,133,68.0,65.5,7,3,male,70.7
600,134,68.0,65.0,4,3,female,68.0
604,135,68.5,65.0,8,3,male,66.0
612,136A,68.5,65.0,8,3,male,68.7
620,136,68.0,64.0,10,3,male,68.0
630,137,68.0,64.0,4,3,female,65.5
634,138,68.0,64.0,5,3,male,69.0
640,140,68.0,64.0,10,3,male,66.0
650,141,68.0,63.0,8,3,male,68.0
658,142,68.5,63.5,4,3,male,69.5
663,144,68.0,63.0,4,3,female,64.5
667,145,68.0,63.0,8,3,male,66.0
675,146,68.0,63.0,6,3,male,66.0
683,149,68.2,63.5,5,3,male,67.0
692,153,68.0,61.0,5,3,male,64.0
698,155,68.0,60.0,7,3,female,61.0
705,156,68.0,60.0,4,3,male,66.5
710,158,68.0,59.0,10,3,male,64.7
720,159,67.0,66.2,5,3,male,71.5
726,161,67.0,66.0,8,3,male,70.7
734,162,67.0,65.0,6,3,female,65.5
740,163,67.0,65.5,5,3,female,65.5
745,164,67.0,65.5,4,3,female,63.0
749,165,67.0,65.0,3,3,female,62.0
752,166,67.5,65.0,11,3,female,64.0
763,167,67.0,64.0,4,3,male,67.0
767,168,67.0,63.5,8,3,male,69.2
775,169,67.0,63.0,3,3,female,63.0
778,170,67.5,62.0,5,3,male,69.0
784,172,66.0,67.0,8,3,male,67.0
792,173,66.0,67.0,9,3,male,65.0
801,174,66.0,66.0,5,3,female,67.0
806,175,66.0,66.0,6,3,female,66.0
812,176,66.5,65.0,8,3,male,66.5
820,177,66.0,65.5,5,3,male,67.0
828,180,66.5,63.0,6,3,male,65.0
834,181,66.5,62.5,7,3,female,63.5
842,183,66.0,60.0,4,3,male,65.0
847,185,66.0,59.0,15,3,male,66.5
862,186,65.0,67.0,4,3,male,66.0
867,188,65.0,66.0,4,3,female,63.0
871,189,65.0,66.0,5,3,male,65.0
876,190,65.0,65.0,9,3,male,68.0
887,192,65.0,65.0,6,3,male,68.0
893,193,65.0,64.0,6,3,female,64.0
901,195,65.0,63.0,3,3,female,63.0
904,196,65.5,63.0,4,3,male,69.0
908,197,65.5,60.0,5,3,male,67.0
913,198,64.0,64.0,7,3,female,65.5
920,199,64.0,64.0,7,3,female,67.0
932,203,62.0,66.0,3,3,female,61.0
